"Category","AwayTeam","AwayScore","HomeTeam","HomeScore","GameState","Date"
"Girls","Drumright","36","Woodland 0-0","31","Final","2025-12-04"
"Girls","Burlington 1-2","26","Medford 0-0","57","4th","2025-12-04"
"Girls","Davenport","6","Commerce","22","2nd","2025-12-04"
"Girls","Yale","0","Crossover Prep","0","Starting","2025-12-04"
"Girls","Drummond 2-1","55","Coyle","24","4th","2025-12-04"
"Girls","Dover","38","Ringwood","36","Final","2025-12-04"
"Girls","Glencoe","11","Newkirk","49","Final","2025-12-04"
"Girls","Stuart","","Hillsdale Christian 0-0","","","2025-12-04"
"Girls","Glencoe","","Frontier 0-0","","","2025-12-04"
"Girls","Mounds","","Olive","","","2025-12-04"
"Girls","Eagletown","","Ft. Towson","","","2025-12-04"
"Girls","Waurika 0-0","","Turner","","","2025-12-04"
"Girls","Whitesboro","","Buffalo Valley","","","2025-12-04"
"Girls","Ryan","","Big Pasture","","","2025-12-04"
"Girls","Marietta","","Thackerville","","","2025-12-04"
"Girls","Pittsburg","","LeFlore 1-0","","","2025-12-04"
"Girls","Cameron 0-0","","Keota 0-0","","","2025-12-04"
"Boys","Ringwood 0-0","36","Pioneer - Pleasant Vale 0-0","47","4th","2025-12-04"
"Boys","New Lima","0","Earlsboro 0-0","0","Starting","2025-12-04"
"Boys","Sharon-Mutual","34","Calumet 4-0","64","Final","2025-12-04"
"Boys","Drumright","57","Woodland","61","Final","2025-12-04"
"Boys","Pittsburg","","LeFlore 1-0","","","2025-12-04"
"Boys","Waurika 0-0","","Turner 0-0","","","2025-12-04"
"Boys","Aline-Cleo","","Stuart 0-0","","","2025-12-04"
"Boys","Ryan","","Big Pasture","","","2025-12-04"
"Boys","Mounds","","Olive","","","2025-12-04"
"Boys","Oilton 0-0","","Davenport","","","2025-12-04"
"Boys","Cameron","","Keota 0-0","","","2025-12-04"
"Boys","Marietta","","Thackerville","","","2025-12-04"
"Boys","Leedey 0-0","","Fargo-Gage 0-0","","","2025-12-04"
"Boys","Eagletown 0-0","","Ft. Towson 0-0","","","2025-12-04"
"Boys","Whitesboro","","Buffalo Valley 0-0","","","2025-12-04"
"Boys","Strother 0-0","","Varnum","","","2025-12-04"
